rank,type,tier,url,city,state,shop_count
44,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-ers-mobile-truck-repair-oklahoma-city.html,Oklahoma City,OK,
45,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-kevins-mobile-rv-repair-llc-oklahoma-city.html,Oklahoma City,OK,
46,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-rv-roof-repair-oklahoma-oklahoma-city.html,Oklahoma City,OK,
47,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-diesel-truck-repair-llc-oklahoma-city.html,Oklahoma City,OK,
48,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mob-oil-mobile-automotive-in-okc-oklahoma-city.html,Oklahoma City,OK,
49,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-t6-south-mobile-rv-repair-oklahoma-city.html,Oklahoma City,OK,
50,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-dhillon-truck-repair-oklahoma-city.html,Oklahoma City,OK,
51,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-on-the-spot-rv-roof-repair-leaks-more-oklahoma-city.html,Oklahoma City,OK,
52,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-punjabi-truck-repair-shop-oklahoma-city.html,Oklahoma City,OK,
53,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-metro-mobile-rv-llc-oklahoma-city.html,Oklahoma City,OK,
54,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-gas-n-gear-repair-oklahoma-city.html,Oklahoma City,OK,
55,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-trailersplus-oklahoma-city.html,Oklahoma City,OK,
56,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-black-knight-diesel-performance-and-repair-oklahoma-city.html,Oklahoma City,OK,
57,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-custom-trailer-sales-oklahoma-city.html,Oklahoma City,OK,
58,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-shepherd-automotive-oklahoma-city.html,Oklahoma City,OK,
59,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-ducky-d-mobile-rv-repair-llc-oklahoma-city.html,Oklahoma City,OK,
60,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-rv-transport-llc-oklahoma-city.html,Oklahoma City,OK,
61,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-bob-hurley-rv-oklahoma-city-oklahoma-city.html,Oklahoma City,OK,
62,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-beck-s-garage-oklahoma-city.html,Oklahoma City,OK,
63,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-boomer-diesel-engine-oklahoma-city.html,Oklahoma City,OK,
64,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-car-guys-mobile-mechanic-okc-oklahoma-city.html,Oklahoma City,OK,
65,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-cp-trailer-oklahoma-city.html,Oklahoma City,OK,
66,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-roadrunner-mobile-mechanic-oklahoma-city.html,Oklahoma City,OK,
67,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-ron-hoover-rv-marine-of-oklahoma-city-oklahoma-city.html,Oklahoma City,OK,
68,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-city-trailer-a-pronoss-company-oklahoma-city.html,Oklahoma City,OK,
69,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-mobilemart-oklahoma-city-oklahoma-city.html,Oklahoma City,OK,
70,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-l-h-d-oklahoma-city.html,Oklahoma City,OK,
71,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-price-mobile-rv-services-oklahoma-city.html,Oklahoma City,OK,
72,shop,shops_in_oklahoma-city,https://www.i40breakdown.com/shop-ok-perfection-truck-parts-equipment-oklahoma-city.html,Oklahoma City,OK,
